,Tolerance,It Mean,Duration
0,0.1,26.6,7.802661895751953
1,0.09655206896551724,26.213333333333335,7.6374900341033936
2,0.09310413793103449,26.373333333333335,7.7356438636779785
3,0.08965620689655172,27.96,8.03502631187439
4,0.08620827586206897,28.72,8.311498880386353
5,0.08276034482758621,28.546666666666667,8.757675886154175
6,0.07931241379310344,28.133333333333333,8.427462100982666
7,0.07586448275862069,29.04,8.198150873184204
8,0.07241655172413794,30.0,8.250958681106567
9,0.06896862068965517,31.213333333333335,8.641372203826904
10,0.06552068965517241,32.346666666666664,9.238119125366211
11,0.06207275862068966,34.13333333333333,9.58858323097229
12,0.05862482758620689,34.586666666666666,9.720027685165405
13,0.055176896551724135,35.626666666666665,9.527408838272095
14,0.051728965517241376,36.373333333333335,9.725278854370117
15,0.04828103448275862,39.08,10.233250141143799
16,0.04483310344827586,40.52,10.97652292251587
17,0.0413851724137931,42.72,10.755403995513916
18,0.037937241379310344,45.12,11.116325855255127
19,0.03448931034482758,47.50666666666667,11.586125135421753
20,0.031041379310344827,51.10666666666667,12.092339992523193
21,0.027593448275862062,55.84,13.240367889404297
22,0.02414551724137931,59.013333333333335,13.75249695777893
23,0.020697586206896545,63.28,14.38609504699707
24,0.01724965517241378,70.56,16.150012016296387
25,0.013801724137931029,80.46666666666667,18.157315969467163
26,0.010353793103448264,91.54666666666667,20.14332103729248
27,0.006905862068965513,111.50666666666666,23.739912271499634
28,0.0034579310344827474,148.38666666666666,31.806767225265503
29,1e-05,827.8133333333334,167.74391913414001
